"Date","Time","Tournament Name","Buy-in","Bounty","Players with check-in","Re-entries","Players without check-in","Prize Pool","Rake","Re-entry rake","Cumulated rakes"
"2023-06-20 13:15:00","2023-06-20 13:15:00","Sunday 50","50","0","17","0","17","17","10","0","170"
"2021-06-20 13:30:00","2021-06-20 13:30:00","Sunday 150","140","0","32","0","32","32","10","0","320"
"2021-06-19 21:00:00","2021-06-19 21:00:00","Saturday Night Fever","70","0","18","0","18","18","10","0","180"
"2021-06-19 13:00:00","2021-06-19 13:00:00","Inauguration fripoker","90","0","62","0","62","62","10","0","620"
"2021-06-23 19:00:00","2021-06-23 19:00:00","Weekly 50","50","0","32","0","32","32","10","0","320"
"2021-06-26 19:00:00","2021-06-26 19:00:00","Saturday Night Fever","90","0","42","1","42","42","10","0","420"
"2021-07-10 19:00:00","2021-07-10 19:00:00","Saturday Night Fever","90","0","28","1","28","28","10","0","280"
"2021-07-16 19:00:00","2021-07-16 19:00:00","Friday, it's ok","90","0","40","1","40","40","10","0","400"
"2021-07-10 19:00:00","2021-07-10 19:00:00","Saturday 50","50","0","33","0","33","33","10","0","330"
"2021-07-17 19:00:00","2021-07-17 19:00:00","Saturday 50","50","0","31","0","31","31","10","0","310"
"2021-06-27 13:30:00","2021-06-27 13:30:00","Sunday 50","50","0","19","0","19","19","10","0","190"
"2021-07-04 13:30:00","2021-07-04 13:30:00","Sunday 50","50","0","17","0","17","17","10","0","170"
"2021-07-11 13:30:00","2021-07-11 13:30:00","Sunday 50","50","0","26","0","26","26","10","0","260"
"2021-07-01 19:00:00","2021-07-01 19:00:00","Weekly 50","50","0","20","0","20","20","10","0","200"
"2021-07-07 19:00:00","2021-07-07 19:00:00","Weekly 50","50","0","28","0","28","28","10","0","280"
